DICTION              6     202212 Reports                         3000000600001 
            ===Note= The following series which usually contain   3000000600002 
            conference proceedings, are generally not considered  3000000600003 
            as reports. Therefore, such publications are usually  3000000600004 
            entered with a conference code (see dict. 7).         3000000600005 
                 CEA-CONF                                         3000000600006 
RFP-TRANS- Dow Chemical Comp., Rocky Flats, translations   1USADRF3000000600101 
GA-        General Atomic Div. Reports                     1USAGA 3000000600102 
GACD-      General Atomic Div. Reports                     1USAGA 3000000600103 
GAMD-      General Atomic Div. Reports                     1USAGA 3000000600104 
GULF-      Gulf Radiation Technology report series         1USAGA 3000000600105 
GULF-RT-   Gulf Radiation Technology Reports               1USAGA 3000000600106 
GULF-RT-A- Gulf Radiation Technology Reports               1USAGA 3000000600107 
FZK-       General Dynamics Reports                        1USAGDT3000000600108 
NARF-      Nuclear Aerospace Research Facility Reports     1USAGDT3000000600109 
WL-TR-     General Dynamics, Fort Worth, Techn. Reports    1USAGDT3000000600110 
APEX-      General Electric, Aircraft Nucl.Prop.Dept.Repts.1USAGEA3000000600111X
DC-        General Electric, Aircraft Nucl. Prop. Proj.    1USAGEA3000000600112X
GEMP-      General Electric, Flight Prop. Lab. Reports     1USAGEA3000000600113 
APED-      General Electric, Atomic Power Equipm.Dept.Repts1USAGEC3000000600114 
GEAP-      General Electric, California Reports            1USAGEC3000000600115 
NEDO-      General Electric, At.Power Equipm. Dept.        1USAGEC3000000600116 
HW-        Hanford Reports                                 1USAHAN3000000600117X
            now BNWL- , extinct 1965                              3000000600118X
HW-SA-     Hanford Reports                                 1USAHAN3000000600119X
            now BNWL- , extinct 1965                              3000000600120X
HEDL-TME-  Hanford Engineering Development Lab. Reports    1USAHED3000000600121 
            ===Note: Series started 1971.   number includes       3000000600122 
               the year (HEDL-TME-71-...)                         3000000600123 
TC-        Hanford Engineering Development Lab. Reports    1USAHED3000000600124 
HNS-       Hazleton-Nuclear Science Co. Reports            1USAHNS3000000600125 
HASL-      USAEC Health and Safety Lab, New York Reports   1USAHSL3000000600126 
IIT-       Illinois Inst.of Technology Reports             1USAIIT3000000600127 
IITRI-     Illinois Inst.of Technology Reports             1USAIIT3000000600128 
INL/EXT-   Idaho National Laboratory Reports               1USAINL3000000600129 
IS-        Iowa State Univ. Reports                        1USAIOW3000000600130 
IS-T-      Iowa State Univ., thesis                        1USAIOW3000000600131 
SUI-       Iowa State Univ. Reports                        1USAIOW3000000600132 
INTEL-RT-  Intelcom Radiation Technology Reports           1USAIRT3000000600133 
INTELRT-   Intelcom Radiation Technology reports           1USAIRT3000000600134 
IRT-       Intelcom Radiation Technology Reports           1USAIRT3000000600135 
KAPL-      Knolls Atomic Power Lab. report series          1USAKAP3000000600136 
KAPL-M-    Knolls Atomic Power Lab. Reports                1USAKAP3000000600137 
KAPL-M-ECH-Knolls Atomic Power Lab. Reports                1USAKAP3000000600138 
KAPL-M-EFC-Knolls Atomic Power Lab. Reports                1USAKAP3000000600139 
KAPL-M-JBN-Knolls Atomic Power Lab. Reports                1USAKAP3000000600140 
KAPL-P-    Knolls Atomic Power Lab. Reports                1USAKAP3000000600141 
KAPL/CSNL- Knolls At. Power Lab. Cross-Section Newsletter  1USAKAP3000000600142 
A-KTY-     Univ.of Kentucky annual report                  1USAKTY3000000600143 
U/KTY-     University of Kentucky Reports                  1USAKTY3000000600144 
LA-        Los Alamos Scientific Lab. Reports              1USALAS3000000600145 
LA-DC-     Los Alamos Scientific Lab. Reports              1USALAS3000000600146 
LA-TR-     Los Alamos Scientific Lab. translations         1USALAS3000000600147 
LA-UR-     Los Alamos Scientific Lab. Reports              1USALAS3000000600148 
LADC-      Los Alamos Scientific lab. Reports              1USALAS3000000600149 
LAMS-      Los Alamos Scientific Lab. Reports              1USALAS3000000600150X
            extinct Sept. 1964                                    3000000600151X
LMSC-      Lockheed Aircraft Co. Reports                   1USALOK3000000600152 
LMSD-      Lockheed Aircraft Co. Reports                   1USALOK3000000600153 
LLNL-TR-   Lawrence Livermore National Laboratory Reports  1USALRL3000000600154 
RL-        Lawrence Radiation Lab., Berkeley Reports       1USALRL3000000600155 
UCAR-      U.C., Lawrence Livermore Lab., Reports          1USALRL3000000600156 
UCID-      U.C., Lawrence Rad.Lab., Reports                1USALRL3000000600157 
UCRL-      U.C., Lawrence Rad.Lab. (Berkeley and Livermore)1USALRL3000000600158 
UCRL-ID-   U.C., Lawrence Rad.Lab. (Berkeley and Livermore)1USALRL3000000600159 
UCRL-TR-   U.C., Lawrence Radiation Lab. translation series1USALRL3000000600160 
UCRL-TRANS-U.C., Lawrence Radiation Lab. translation       1USALRL3000000600161 
            ===Note: the CINDA code is UCRL-TR-                   3000000600162 
UNIV-MI-   University of Michigan Reports                  1USAMHG3000000600163 
MIT-       Massachusetts Inst. of Technology Reports       1USAMIT3000000600164 
MIT-LNS-PR-M.I.T. Lab. of Nucl.Science progress report     1USAMIT3000000600165 
MIT-REP-   Massachusetts Inst. of Technology Reports       1USAMIT3000000600166 
MIT-TR-    Massachusetts Inst. of Technology Reports       1USAMIT3000000600167 
MITNE-     M.I.T. Dept.of Nuclear Engineering Reports      1USAMIT3000000600168 
MLM-       Mound Lab., Miamisburg Reports                  1USAMND3000000600169 
MNC-       Maryland Univ., Dept. of Nuclear Chem. Reports  1USAMRY3000000600170 
A-MSU-     Michigan State Univ.Cyclotron Lab., annual rept.1USAMSU3000000600171 
IDO-       Philips Petroleum Co., Idaho Falls Reports      1USAMTR3000000600172X
IN-        Idaho Nuclear Corp. Reports                     1USAMTR3000000600173 
MTR-L-     Idaho Nuclear Corp. Reports                     1USAMTR3000000600174 
PTR-       Phillips Petroleum Co., Idaho Falls Reports     1USAMTR3000000600175 
N-         N.A.S.A. Reports                                1USANAS3000000600176 
            Code includes the year.  (Write N-70-..., not N70-...)3000000600177 
N70-       *** Code obsolete ***  Write N-70-              1USANAS3000000600178O
NASA-      N.A.S.A. Reports, TM = Technical Memo,          1USANAS3000000600179 
           =TN = Technical Note, TP = Technical Paper             3000000600180 
NASA-SP-   N.A.S.A. Special Publication                    1USANAS3000000600181 
NASA-TM-   N.A.S.A. Technical Memo                         1USANAS3000000600182 
NASA-TM-X- N.A.S.A. Technical Memo                         1USANAS3000000600183 
NASA-TN-   N.A.S.A. Technical Note                         1USANAS3000000600184 
NASA-TN-D- N.A.S.A. Technical Note                         1USANAS3000000600185 
NASA-TP-   N.A.S.A. Technical Paper                        1USANAS3000000600186 
NBS-MONO-  National Bureau of Standards Monograph          1USANBS3000000600187 
NDL-TR-    U.S. Army Chem.Corps. Nuclear Def. Lab. Reports 1USANDL3000000600188 
NISTIR-    N.I.S.T. Report Series                          1USANIS3000000600189 
USNRDL-    Naval Radiological Def. Lab. Reports            1USANRD3000000600190 
USNRDL-TR- Naval Radiological Def. Lab. Reports            1USANRD3000000600191 
NRL-       Naval Research Lab. Reports                     1USANRL3000000600192 
ORNL-      Oak Ridge National Lab. Reports                 1USAORL3000000600193 
ORNL-CF-   Oak Ridge National Lab. Central File Memo       1USAORL3000000600194X
ORNL-CPX-  ORNL Charged-Part.Cross-Sect.Data Center Reports1USAORL3000000600195X
ORNL-P-    Oak Ridge National Lab. preprint                1USAORL3000000600196 
ORNL-TM-   Oak Ridge National Lab. technical memo          1USAORL3000000600197 
ORNL-TR-   Oak Ridge National Lab. translation             1USAORL3000000600198 
PWAC-      Pratt and Whitney Aircraft Div. Reports         1USAPRW3000000600199 
PPAR-      Princeton Pennsylvania Accelerator Reports      1USAPTN3000000600200X
PUC-       Princeton, Palmer Physics Lab. Reports          1USAPTN3000000600201 
UR-        Univ. of Rochester Reports                      1USAROC3000000600202 
A-RPI-     R.P.I. annual progress report                   1USARPI3000000600203 
RPI-       Rensselaer Polytechnic Inst. Reports            1USARPI3000000600204 
RPI-PR-    R.P.I. progress report                          1USARPI3000000600205 
SC-        Sandia Corp., Albuquerque, report series        1USASC 3000000600206 
SC-R-      Sandia Corp., Albuquerque Reports               1USASC 3000000600207 
SC-RR-     Sandia Corp., Albuquerque Reports               1USASC 3000000600208 
SCR-       Sandia Corp. Reports                            1USASC 3000000600209X
            Continued as SC-R-.                                   3000000600210X
DP-        Du Pont, Savannah River Reports                 1USASRL3000000600211 
DP-MS-     Du Pont, Savannah River Reports                 1USASRL3000000600212 
ESL-       Univ. of Texas technical report                 1USATEX3000000600213 
AEC-TR-    Div. of Tech. Info. U.S. AEC translation        1USATID3000000600214 
AECD-      Div. of Tech. Info. U.S. AEC                    1USATID3000000600215X
            Succeeded MDDC-, extinct 1960                         3000000600216X
AECU-      Div. of Tech. Info. U.S. AEC Reports            1USATID3000000600217X
MDDC-      Manhatten District Reports                      1USATID3000000600218X
            Continued as AECD-                                    3000000600219X
NP-        Div. of Tech. Info. U.S. AEC Reports            1USATID3000000600220 
            numbering of non project                              3000000600221 
NP-TR-     Div. of Tech. Info. U.S. AEC translations       1USATID3000000600222 
TID-       Div. of Tech. Info. U.S. AEC Reports            1USATID3000000600223 
TNC-       Texas Nuclear Corp. Reports                     1USATNC3000000600224 
A-TNL-     Triangle Univ. Nuclear Lab. annual report       1USATNL3000000600225X
TUNL-      Triangle Univ. Nuclear Lab. annual report       1USATNL3000000600226 
UILU-ENG-  Univ.of Illinois, Dept. of Engin. progress rept.1USAUI 3000000600227 
NDA-       United Nuclear Corp. Reports                    1USAUNC3000000600228X
NDA-MEMO-  United Nuclear Corp. Reports                    1USAUNC3000000600229 
NDA-PHYS-  United Nuclear Corp. Reports                    1USAUNC3000000600230X
UNC-       United Nuclear Corp. Reports                    1USAUNC3000000600231 
ACRH-      Argonne Cancer Res. Hospital Reports            1USAUSA3000000600232 
AFSWC-     Air Force Spec.Weap.Center Kirtland A.F.B.Repts.1USAUSA3000000600233 
AFSWC-TDR- Air Force Spec.Weap.Center Kirtland A.F.B.Repts.1USAUSA3000000600234 
AFSWC-TR-  Air Force Spec.Weap.Center Kirtland A.F.B.Repts.1USAUSA3000000600235 
AFWL-      Air Force Spec.Weap.Center Kirtland A.F.B.Repts.1USAUSA3000000600236 
AFWL-TDR-  Air Force Spec.Weap.Center Kirtland A.F.B.Repts.1USAUSA3000000600237O
AFWL-TR-   Air Force Spec.Weap.Center Kirtland A.F.B.Repts.1USAUSA3000000600238 
ASTM-      American Soc. of Testing and Materials, reports 1USAUSA3000000600239 
ASTM-STP-  American Soc. of Testing and Materials Reports  1USAUSA3000000600240 
CONF-      Conference proceedings report series            1USAUSA3000000600241 
            ===Note: Instead of the CONF- code usually a          3000000600242 
               conference code is introduced (see dictionary 7    3000000600243 
               for conference codes)                              3000000600244 
COO-       Chicago Operations Office,A.E.C.,Contract rept. 1USAUSA3000000600245 
CVAC-      Vultee Aircraft Corp. Reports                   1USAUSA3000000600246X
D2-        Boeing Aircraft Reports                         1USAUSA3000000600247X
DNA-       Defense Nuclear Agency Reports                  1USAUSA3000000600248 
            ===Note: DNA is a contracting agency, and many labs   3000000600249 
               publish in DNA- .                                  3000000600250 
            DNA- replaced DASA- in 1972/73                        3000000600251 
DOE-       U.S. Dept.of Energy Reports                     1USAUSA3000000600252 
DOE-ER-    U.S. Dept.of Energy, Fusion Energy Series       1USAUSA3000000600253 
DOE-NDC-   U.S. D.O.E. Nuclear Data Committee Reports      1USAUSA3000000600254 
ENDF-      Evaluated Nuclear Data File (ENDF) Reports      1USAUSA3000000600255 
EPRI-      Electric Power Res. Inst., Palo Alto reports    1USAUSA3000000600256 
            ===Note: the report numbers are project numbers, so   3000000600257 
               different reports may appear under the same report 3000000600258 
               number.                                            3000000600259 
EPRI-NP-   Electric Power Res. Inst., Nuclear Phys. Series 1USAUSA3000000600260 
ERDA-      U.S. Energy Res. and Development Admin. Reports 1USAUSA3000000600261 
ERDA-NDC-  U.S. E.R.D.A. Nuclear Data Committee Reports    1USAUSA3000000600262 
HEW(FDA)-  Public Health Service, F.D.A. Reports           1USAUSA3000000600263 
ICRU-      Int.Comm.on Radiation Units and Meas. Reports   1USAUSA3000000600264 
LRL-       Calif. Research and Development Co. Reports     1USAUSA3000000600265X
MON-N-     Chemistry Division Reports                      1USAUSA3000000600266 
MR-A-      Vultee Aircraft Corp., Ft.Worth Reports         1USAUSA3000000600267 
NAS-NRC-   Nat. Acad. of Sci., Nat. Res. Council Reports   1USAUSA3000000600268 
NCSAC-     U.S.AEC Nucl.Cross Sections Advisory Comm. Repts1USAUSA3000000600269 
NUREG/CP-  Nuclear Regulatory Commission Reports           1USAUSA3000000600270 
NYO-       New York Operations Office Reports              1USAUSA3000000600271 
NYO-GEN72- New York Operations Office Reports              1USAUSA3000000600272 
ORO-       Oak Ridge Operations Office, contract report    1USAUSA3000000600273 
PNE-       U.S. AEC, Peaceful Nuclear Explosions series    1USAUSA3000000600274 
RFP-       Dow Chemical Company, Rocky Flats Div. Reports  1USAUSA3000000600275 
RLO-       U.S. AEC Reports                                1USAUSA3000000600276 
RPC-       Radioplane Co., Van Nuys, California Reports    1USAUSA3000000600277 
UMO-       University Microfilms Order Number              1USAUSA3000000600278 
           =(Theses can be ordered using this number from         3000000600279 
           =University Microfilms Ltd.)                           3000000600280 
USNDC-     Report to the U.S. Nuclear Data Comm.           1USAUSA3000000600281 
WASH-      Washington AEC Office Reports                   1USAUSA3000000600282 
            Often reports to NCSAG.                               3000000600283 
XDC-       General Electric Corp., Cincinnati Reports      1USAUSA3000000600284X
WADC-      Wright Air Devel. Centre report series          1USAWAD3000000600285 
WADC-TN-   Wright Air Devel. Centre Reports                1USAWAD3000000600286 
WADC-TR-   Wright Air Devel. Centre Reports                1USAWAD3000000600287 
WADD-TR-   Wright Air Devel. Centre Reports                1USAWAD3000000600288 
WANL-      Westinghouse Astro-Nuclear Lab. reports         1USAWAL3000000600289 
WANL-TME-  Westinghouse Astro-Nuclear Lab. Reports         1USAWAL3000000600290 
WAPD-      Westinghouse Atomic Power Div.(Bettis) reports  1USAWAP3000000600291 
WAPD-BT-   Westinghouse Atomic Power Div.(Bettis) Reports  1USAWAP3000000600292 
WAPD-T-    Westinghouse Atomic Power Div.(Bettis) Reports  1USAWAP3000000600293 
WAPD-TM-   Westinghouse Atomic Power Div.(Bettis) Reports  1USAWAP3000000600294 
WAPD-TRANS-Westinghouse Atomic Power Div.(Bettis) Reports  1USAWAP3000000600295 
A-WAU-     Univ.of Washington, Seattle, annual report      1USAWAU3000000600296 
WCAP-      Westinghouse Atomic Power Div.(Pittsburgh) Repts1USAWES3000000600297 
WARD-      Westinghouse Advanced Reactors Division Reports 1USAWEW3000000600298 
UWFDM-     Univ.Wisconsin Fusion Engineering Program Repts 1USAWIS3000000600299 
TNCC(CAN)- Tripartite Nucl. Cross Sections Comm. Reports   1ZZZ   3000000600300X
TNCC(UK)-  Tripartite Nucl. Cross Sections Comm. Reports   1ZZZ   3000000600301X
TNCC(US)-  Tripartite Nucl  Cross Sections Comm. Reports   1ZZZ   3000000600302X
TNCC-      Tripartite Nucl. Cross Sections Comm. Reports   1ZZZ   3000000600303X
OAWS-                                                      2AUSAUS3000000600304O
            See journal OAW.                                      3000000600305O
IRK-PR-    Inst. f. Radiumforschung Progress Report        2AUSIRK3000000600306 
            No report code shown on document                      3000000600307 
SGAE-      Oesterr. Studienges. f. Atomenergie reports     2AUSSGA3000000600308 
SGAE-PH-   Oesterr.Studienges.f.Atomen.,Physikinst., Repts 2AUSSGA3000000600309 
BLG-       Centre d'Etude de l'Energie Nucl.,Bruxelles,Rept2BLGMOL3000000600310 
RISO-      RISO Research Institute report series           2DENRIS3000000600311 
RISO-M-    RISO Research Institute Reports                 2DENRIS3000000600312 
BIPM-      Bureau Int. des Poids et Mesures Reports        2FR BIP3000000600313 
CEN(BG)-   C.E.N. Bordeaux-Gradignan Reports               2FR BOR3000000600314 
            Centre d'Etudes Nucleaires Bordeaux-Gradignan         3000000600315 
PNR-       Cadarache Reports                               2FR CAD3000000600316 
PNR/SETR-  Cadarache Reports                               2FR CAD3000000600317 
            Code on cover e.g. PNR/SETR 65.010                    3000000600318 
            to be coded as PNR/SETR-65-1OPRD/B                    3000000600319 
                                                                  3000000600320 
PNR/SETR-R-Cadarache Reports                               2FR CAD3000000600321 
            E.g.: PNR/SETR-R-25                                   3000000600322 
            Code on cover (on 2 lines): PNR/SETR                  3000000600323 
                                        R.025                     3000000600324 
A-CSN-     C.S.N.S.M., Orsay  Reports                      2FR CSN3000000600325 
            Centre de Spectrometrie Nucleaire et de Spectrometrie 3000000600326 
             de Masse                                             3000000600327 
EDF-       Electricite de France Reports                   2FR EDF3000000600328 
EDF-HX-    Electricite de France Reports                   2FR EDF3000000600329 
CEA-       Centre d'Etudes Nucleaires report series        2FR FR 3000000600330 
CEA-CONF-  Commissariat a l'Energie Atomique, Conf.reports 2FR FR 3000000600331 
CEA-N-     Centre d'Etudes Nucleaires, note                2FR FR 3000000600332 
            Internal report with limited distribution             3000000600333 
CEA-R-     Centre d'Etudes Nucleaires, Saclay Reports      2FR FR 3000000600334 
FRNC-TH-   French non CEA Reports                          2FR FR 3000000600335 
ISN-       U. de Grenoble, Inst. des Sciences Nucl. reports2FR GRE3000000600336 
ISN-TS-    U. de Grenoble, Inst. des Sciences Nucl. reports2FR GRE3000000600337 
SAR-G-     C.E.A. Grenoble Reports                         2FR GRE3000000600338 
LYCEN-     Univ. of Lyon Reports                           2FR LYO3000000600339 
A-IPNO-    Inst. de Phys. Nucleaire Orsay Activity Report  2FR PAR3000000600340 
IPNO-DRE-  Inst. de Phys. Nucl. Orsay Reports (Nucl.Phys.) 2FR PAR3000000600341I
IPNO-PHN-  Inst. de Phys. Nucl. Orsay Reports (Nucl.Phys.) 2FR PAR3000000600342 
IPNO-RC-   Inst. de Phys. Nucl. Orsay Reports (Radiochem.) 2FR PAR3000000600343 
IPNO-TH-   Inst. de Physique Nucleaire Orsay thesis        2FR PAR3000000600344 
LPC-       Lab. de Physique Corpusculaire Reports          2FR PCF3000000600345 
LPC-T-     Lab. de Physique Corpusculaire thesis           2FR PCF3000000600346 
CEA-SMNF-  Centre d'Etudes Nucleaires, Saclay Reports      2FR SAC3000000600347 
HMI-       Hahn-Meitner Inst., Berlin report series        2GERBER3000000600348 
HMI-B-     Hahn-Meitner Inst., Berlin Reports              2GERBER3000000600349 
IKF-       Inst.fuer Kernphysik, Frankfurt Reports         2GERFRK3000000600350 
BMWF-FBK-  Bundesmin.f.Wiss.Forschg. Reports               2GERGER3000000600351 
ZAED-M-    Zentralstelle fuer Atomkernenergie-Dokum.       2GERGER3000000600352 
GSI-       Gesellschaft fuer Schwerionenforschung Reports  2GERGSI3000000600353 
GSI-J-     Gesellschaft fuer Schwerionenforschung Reports  2GERGSI3000000600354 
HH-        Hamburg Univ.,Inst.f.Experimentalphysik Reports 2GERHAM3000000600355 
FIZ-KA-    Fachinformationszentrum Karlsruhe Reports       2GERIKA3000000600356 
JUEL-      Kernforschungsanlage, Juelich, report series    2GERJUL3000000600357 
JUEL-SPEZ- Kernforschungsanlage Juelich, Progress Report   2GERJUL3000000600358 
ARB.BER-   Kernforschungszentrum Karlsruhe Reports         2GERKFK3000000600359 
FZKA-      Forschungszentrum Karlsruhe Reports             2GERKFK3000000600360 
KFK-       Kernforschungszentrum Karlsruhe Reports         2GERKFK3000000600361 
KFK-EXT-   KFK Reports (Externer Bericht)                  2GERKFK3000000600362 
KFK-TR-    Kernforschungszentrum Karlsruhe translation ser.2GERKFK3000000600363 
PSB-BER-   Kernforschungszentrum Karlsruhe preprint        2GERKFK3000000600364 
GKSS-      Ges.Kernen.-Verwertung, Schiffbau and Schiffahrt2GERKIG3000000600365 
            Ges. fuer Kernenergie-Verwertung in Schiffbau und     3000000600366 
             Schiffahrt Reports                                   3000000600367 
MAINZ-     Inst. Nuclear Chem. Mainz Univ. Annual Reports  2GERMNZ3000000600368 
FRM-       Forschungs Reactor Muenchen Reports             2GERMUN3000000600369 
PTUM-E-    Techn. Univ. Muenchen Reports                   2GERMUN3000000600370 
BLM-JB-    Beschleunigerlab. Univ. Muenchen annual report  2GERMUU3000000600371 
            und der Techn. Univ. Muenchen                         3000000600372 
PTB-       P.T.B., Braunschweig, reports                   2GERPTB3000000600373 
PTB-FMRB-  P.T.B., Braunschweig Reports                    2GERPTB3000000600374 
            Phys.Techn.Bundesanst.,Forschungs- u.Messreaktor      3000000600375 
PTB-N-     Phys.Techn.Bundesanst., Neutronenphysik Reports 2GERPTB3000000600376 
IKDA-      Inst. f. Kernphysik,Darmstadt Reports           2GERTHD3000000600377 
IKE-       Stuttgart u. Inst. f. Kernenergetik Reports     2GERTHS3000000600378 
ZFK-       Zentralinst. f. Kernforschung Rossendorf Reports2GERZFK3000000600379 
            Starting with number ZFK-121 7/66 as continuation     3000000600380 
             of 6 ZFK- subseries as follows.                      3000000600381 
CEC-       Centro di Calcolo, CNEN, Bologna Reports        2ITYBOL3000000600382X
            ===Note: report number includes the year in the form  3000000600383X
               CEC-(71)9                                          3000000600384X
           =(now: CEC(year)-)                                     3000000600385X
RT/TIB-    ENEA Dipart.Technol.Interessettor.di Base Repts 2ITYBOL3000000600386X
CISE-      Centre Inform. Studi Esp. Reports               2ITYCIS3000000600387 
INFN/BE-   INFN Reports / Low Energy Physics Series        2ITYGVA3000000600388 
