DICTION              6     202206 Reports                         3000000600001 
            ===Note= The following series which usually contain   3000000600002 
            conference proceedings, are generally not considered  3000000600003 
            as reports. Therefore, such publications are usually  3000000600004 
            entered with a conference code (see dict. 7).         3000000600005 
                 CEA-CONF                                         3000000600006 
                 CONF-    (AEC, ERDA)                             3000000600007 
                 NBS-SPEC-PUB                                     3000000600008 
                 STI/PUB  (IAEA)                                  3000000600009 
ALBERTA-   Nucl.Res.Centre, U.of Alberta, Edmonton Reports 1CANALA3000000600010 
           =(reports carry a number but no report code;           3000000600011 
           =code 'ALBERTA-' was invented)                         3000000600012 
MC-        Nat'l Res.Council of Canada, Montreal Labs Repts1CANCAN3000000600013 
AECL-      Atomic Energy of Canada Ltd. Reports            1CANCRC3000000600014 
CR-        *** Code obsolete *** Use AECL-number           1CANCRC3000000600015O
CRC-       National Research Council Reports               1CANCRC3000000600016X
CRGP-      AECL  .                                         1CANCRC3000000600017X
            Use AECL- numbers                                     3000000600018X
CRNL-      AECL Chalk River Reports                        1CANCRC3000000600019 
CRP-       AECL Chalk River Reports                        1CANCRC3000000600020 
CRRP-      AECL Chalk River Reports                        1CANCRC3000000600021 
CRT-       Natn'l Res.Council of Canada, Chalk River Repts 1CANCRC3000000600022 
PR-CM-     AECL Chalk River Reports                        1CANCRC3000000600023 
PR-CMA-    AECL Chalk River Reports                        1CANCRC3000000600024 
PR-P-      AECL Reports                                    1CANCRC3000000600025X
            Use AECL- numbers                                     3000000600026X
TDS-       AECL Nucl.Power Plant Div. Reports              1CANCRC3000000600027 
UK/C-      AECL Reports                                    1CANCRC3000000600028X
            Use AECL- numbers                                     3000000600029X
LPN-UM-    Univ. of Montreal Reports                       1CANMON3000000600030 
NRCC-      Nat'l Res.Council of Canada, Ottawa Reports     1CANOTC3000000600031 
ENICO-     Exxon Nuclear Idaho Company Reports             1USAACC3000000600032 
ICP-       Allied Chem. Corp., Idaho Chem. Programs        1USAACC3000000600033 
AN-        Aerojet General Nucleonics Reports              1USAAGN3000000600034 
AI-        Atomics International Reports                   1USAAI 3000000600035 
AI-AEC-    Atomics International Reports                   1USAAI 3000000600036 
NAA-       North American Aviation report series           1USAAI 3000000600037 
NAA-SR-    North American Aviation Reports                 1USAAI 3000000600038 
NAA-SR-M-  North American Aviation Reports                 1USAAI 3000000600039 
NAA-SR-MEMONorth American Aviation Reports                 1USAAI 3000000600040 
            Note: Coded in CINDA as NAA-SR-M-                     3000000600041 
NAA-SR-TDR-North American Aviation Reports                 1USAAI 3000000600042 
TI-        Atomics Int., N. American Rockwell, Tech. Inf.  1USAAI 3000000600043 
AIP-       Conf.proceedings by Am.Inst.of Phys.            1USAAIP3000000600044 
            Published electronically in                           3000000600045 
            http://proceedings.aip.org                            3000000600046 
A-ALB-     State Univ. of New York at Albany Reports       1USAALB3000000600047 
ANCR-      Aerojet Nuclear Corp. Reports                   1USAANC3000000600048 
ANL-       Argonne National Laboratory report series       1USAANL3000000600049 
ANL-NDM-   Argonne National Laboratory Reports             1USAANL3000000600050 
ANL-TRANS- Argonne National Laboratory, translations       1USAANL3000000600051 
ANL/NPBTSTRArgonne Nat.Lab.Neutr.Part.Beam Test Prog.Repts.1USAANL3000000600052 
           =ANL/NPBTS-TR- on the cover                            3000000600053 
AP/CTR/TM- Argonne Nat. Lab., Appl.Phys.Div., Techn. Memo  1USAANL3000000600054 
FRA-TM-    FRA Technical Memorandum, Argonne Nat. Lab.     1USAANL3000000600055 
RPCC-      Reactor Physics Constants Center Newsletter     1USAANL3000000600056 
APDA-      Atomic Power Devel. Assoc., Detroit Reports     1USAAPD3000000600057 
ARF-       Armour Research Foundation Reports              1USAARF3000000600058 
A-ARK-     Univ. of Arkansas Reports                       1USAARK3000000600059 
ARL-       Aerospace Res.Labs,Wright-Patterson A.F.B.Repts.1USAARL3000000600060 
BAW-       Babcock and Wilcox Co. Reports                  1USAB+W3000000600061 
BMI-       Battelle Memorial Inst. Reports                 1USABAT3000000600062 
BNL-       Brookhaven National Laboratory report series    1USABNL3000000600063 
BNL-C-     Brookhaven National Laboratory Reports          1USABNL3000000600064 
BNL-NCS-   Brookhaven National Laboratory Reports          1USABNL3000000600065 
BNL-TR-    Brookhaven National Laboratory translations     1USABNL3000000600066 
IS/P-      Brookhaven National Laboratory Reports          1USABNL3000000600067 
BNWL-      Battelle-Northwest report series                1USABNW3000000600068 
BNWL-B-    Battelle-Northwest Reports                      1USABNW3000000600069 
BNWL-SA-   Battelle-Northwest Reports                      1USABNW3000000600070 
BNWL-TR-   Battelle-Northwest Reports                      1USABNW3000000600071 
LBL-       Lawrence Berkeley Laboratory Reports            1USABRK3000000600072 
LBNL-      Lawrence Berkeley National Laboratory Reports   1USABRK3000000600073 
BRL-       Ballistic Research Labs report series           1USABRL3000000600074 
BRL-MR-    Ballistic Research Labs Reports                 1USABRL3000000600075 
BRL-R-     Ballistic Research Labs Reports                 1USABRL3000000600076 
LAP-       Calif. Inst. of Technology Lemon Aid Preprints  1USACAL3000000600077 
OAP-       Calif. Inst. of Technology Orange Aid Preprints 1USACAL3000000600078 
CC-        Chicago University Metallurgical Labs Reports   1USACHI3000000600079 
CF-        Chicago University Metallurgical Labs Reports   1USACHI3000000600080 
CN-        Chicago University Metallurgical Labs Reports   1USACHI3000000600081 
CP-        Chicago University Metallurgical Labs Reports   1USACHI3000000600082 
            Some reports issued from Argonne National Lab.        3000000600083 
CS-        Chicago University Metallurgical Labs Reports   1USACHI3000000600084 
NPL-       U. Colorado, Nucl.Phys.Lab., Techn. Prog. Rept. 1USACLU3000000600085 
UCOL-P-    Colorado Univ. Reports                          1USACLU3000000600086 
CU(PNPL)-  Columbia Univ. progress report                  1USACOL3000000600087 
CU-        Columbia Univ. report series                    1USACOL3000000600088 
CUD-       Columbia Univ. report series                    1USACOL3000000600089 
NYO-GEN-   Columbia Univ. Reports                          1USACOL3000000600090 
NUCL-EX-   Cornell University Web Reports                  1USACOR3000000600091 
            Numbers on website are given as "nucl-ex/..."         3000000600092 
CWR-       Curtiss-Wright Corp. Reports                    1USACUW3000000600093X
DAV-       Crocker Nucl. Lab., U.C. at Davis Reports       1USADAV3000000600094 
UCD-CNL-   Crocker Nucl. Lab., U.C. at Davis, prog.rep.    1USADAV3000000600095 
AD-        Dept. of Defence Reports                        1USADOD3000000600096 
AFOSR-     Dept. of Defense Reports                        1USADOD3000000600097 
AFSWP-     Armed Forces Special Weapons Project Reports    1USADOD3000000600098 
DASA-      Defense Atomic Support Agency Reports           1USADOD3000000600099 
            ===Note: In 1972/73 replaced by DNA                   3000000600100 
